Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,source
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),44/63,4.800861057501606e-11,2.1004215484974157e-08,0,0,5.540241619874085,131.63415046847757,NDUFA13;NDUFB8;NDUFB7;C2ORF69;NDUFB6;UQCRB;NDUFA12;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRH;NDUFV3;NDUFV2;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;NDUFA3;NDUFA1;NDUFC2;CHCHD10;NDUFC1;SDHC;SDHD;SDHA;ATP5F1C;SDHB;NIPSNAP2;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFS1;UQCRC2,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),42/59,4.9606491993640986e-11,2.1004215484974157e-08,0,0,5.9094083627667775,140.21193775930664,NDUFA13;NDUFB8;NDUFB7;C2ORF69;NDUFB6;UQCRB;NDUFA12;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRH;BLOC1S1;ME3;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;SURF1;NDUFA6;NDUFA5;NDUFA3;NDUFA1;NDUFC2;CHCHD10;NDUFC1;SDHC;SDHB;NIPSNAP2;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;MTFR1;NDUFS1;MTFR2;UQCRC2,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),69/118,6.244846733443415e-11,2.4407743271250764e-08,0,0,3.376030521572949,79.32550688408787,LTV1;NVL;PAK1IP1;WDR3;MRPS12;FCF1;NAT10;MRPL36;WDR46;WDR43;RRP9;XPO1;RPS19;RPL38;RIOK2;RIOK1;GLUL;UTP15;NOM1;WDR36;UTP11;DIMT1;RPS5;NGDN;GTF3A;URB2;UTP18;EBNA1BP2;GRWD1;MRTO4;CINP;RPS19BP1;NIP7;HEATR1;NOL7;SNU13;MALSU1;RPF2;SPATA5;SDAD1;TMA16;NOL6;EMG1;EXOSC10;BMS1;TGS1;RRS1;RPL14;UTP20;ZNF622;NOP56;NOP14;NPM1;UTP6;NOP16;UTP4;PNO1;KRR1;UTP3;DDX31;WDR12;BYSL;RCL1;TBL3;RPS27;ZNF658;MPHOSPH10;RBIS;RPL26L1,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",28/34,2.720469168689034e-10,9.873359890077848e-08,0,0,11.144408620397082,245.45611892642629,NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFC2;NDUFC1;NDUFS8;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS3;NDUFS1;NDUFAF1,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),38/53,2.955535987237862e-10,1.0011385567437053e-07,0,0,6.056229814720381,132.8868296791874,NDUFA13;NDUFB8;NDUFB7;NDUFB6;NDUFA12;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;NDUFV3;NDUFV2;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;NDUFA3;NDUFA1;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;ATP5F1C;SDHB;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFS1,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Golgi Vesicle Transport (GO:0048193),99/197,8.31279515702378e-10,2.639832012052365e-07,0,0,2.425912618568554,50.72111449541002,KDELR1;PITPNB;PDCD6;GCC2;GOLGA4;GOLGA5;TFG;TRAPPC12;BCAP29;TRAPPC13;RAB2A;GABARAPL2;COG7;TRAPPC2L;COG6;COG5;GOLPH3L;TRAPPC2B;SCAMP1;SCAMP3;SCAMP2;TBC1D20;ZW10;KDELR2;KDELR3;PLPP3;COPB2;TMED10;LMAN2L;SAR1B;ARL3;COPB1;SNX3;SNX1;SNX2;RAB6A;SNX8;VTI1B;SEC16B;TRAPPC3;TRAPPC4;TMEM115;SPIRE2;SPIRE1;HYOU1;CNIH4;ARF3;SNX12;MIA3;IER3IP1;TMED3;KIF1C;TMED2;TMED1;TMED7;RAB8A;TMED5;TMED4;TMED9;COPZ2;COPZ1;DNM2;TAPBP;TRAPPC6A;RER1;PICK1;EXOC5;ERGIC3;RAB7B;ERGIC2;SEC22A;ERGIC1;SEC22C;CCL13;RAB1A;NBAS;ATL3;STX17;STX18;USO1;GOSR1;LMAN1;LMAN2;RAB29;ATP9B;BCAP31;YIPF5;YIF1A;ARCN1;YIF1B;VAPB;RAB12;RAB13;TRIP11;RANGRF;COPG2;GOPC;COPG1;BET1,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),40/60,3.163536954190374e-09,9.455253684847816e-07,0,0,4.7811596667233465,93.57482570222416,NDUFA13;NDUFB8;NDUFB7;NDUFB6;NDUFA12;NDUFB5;NDUFB4;NDUFB3;NDUFB2;ATP5MC3;NDUFB1;ATP5MC1;NDUFV3;NDUFV2;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;NDUFA3;NDUFA1;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;ATP5F1C;SDHB;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFS1,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Protein Transport (GO:0015031),140/313,8.458127186532523e-09,2.3875413463762083e-06,0,0,1.946620031936391,36.184041905134286,VPS29;STEAP3;SYS1;TFRC;PDCD6;GCC2;GOLGA4;HERC2;LAMP2;ARL6IP5;ARFIP1;VPS35;SIL1;WLS;ARRDC4;TANGO6;COG7;STX8;VPS33A;PAM16;GOLPH3L;SCAMP1;SCAMP3;SCAMP2;PDIA4;RUFY1;PREPL;RAB34;RABL3;TXNIP;RAB38;BLZF1;OPTN;ABCG1;COPB2;NECAB3;RAB5C;TMED10;LMAN2L;STXBP3;SAR1B;ARL6;SEL1L;VPS26C;ARL1;VPS26A;HSP90B1;TIMM50;SNX4;SNX1;SCFD2;KIF3A;GRPEL2;MYO6;APOE;SNX7;RAB6A;SNX8;BBS2;CTSA;GSDMD;DNAJC19;HSPA9;BBS1;RABL2A;RABL2B;TIMM44;TVP23B;DNAJC15;IFT22;CHMP2B;RCAN3;PPT1;IFT27;MON1A;ARF3;C17ORF75;LRSAM1;SNX13;MIA3;RAB22A;TMED3;TMED2;TMED1;TMED7;CEP290;RAB8A;TMED5;TMED4;YWHAH;NDC1;TMED9;COPZ2;TIMM23;TIMM21;ARFGAP3;COPZ1;DNM2;ARL4D;ARL4A;CANX;PICK1;CHMP3;PPARG;SLU7;ARF6;RAB7A;STX12;RAB1A;STX17;LRP1;UNC93B1;USO1;SNX33;HDAC6;GGA2;RAB20;SVBP;STX6;RAB29;STX4;ROMO1;STX2;RILP;CD74;NPM1;AP3D1;LAPTM5;MCOLN1;ARCN1;RAB10;SEC23IP;KRT18;RAB14;RAB12;RAB13;RAB18;COPG2;COPG1;VPS45,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Fatty Acid Beta-Oxidation (GO:0006635),34/49,1.0047033792236987e-08,2.6867883525450597e-06,0,0,5.415050110412774,99.72349997034948,ABCD4;GCDH;ACADVL;ACAA2;ECHS1;ECI1;ECI2;ETFDH;HSD17B4;ETFA;CROT;ETFB;HSD17B10;MTLN;ACAT2;ACAT1;AUH;CPT2;SCP2;ACADM;ACAD11;DECR2;ACADS;DECR1;HADHB;BDH2;SLC25A17;AMACR;ACOX1;EHHADH;IVD;ECHDC1;ECHDC2;PPARD,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Protein N-linked Glycosylation (GO:0006487),41/64,1.1808267377941244e-08,2.9998903273659733e-06,0,0,4.261283643892339,77.78745707653124,DPAGT1;B4GALT1;RPN2;PDCD6;MAGT1;TMEM165;KRTCAP2;FUT8;MGAT5;PGM3;MAN1C1;MGAT3;SLC39A8;MGAT1;MGAT2;UGGT2;NUDT14;ST3GAL1;UGGT1;MPDU1;OST4;ALG8;ALG9;ENTPD5;ALG5;GFPT1;SRD5A3;ALG14;ALG3;MOGS;ALG10;DDOST;DPM1;TMEM258;DAD1;MGAT4A;OSTC;MGAT4B;STT3A;STT3B;B4GALT7,GO_Biological_Process_2023_upregulated
