names,scores,logfoldchanges,pvals,pvals_adj
Slc38a1,-0.53617656,0.08269642,0.5918365171775235,1.0
Taz,-0.5362351,-0.17702353,0.591796064928274,1.0
Cog1,-0.53626436,-0.063203484,0.5917758392798091,1.0
Prorp,-0.53641075,-0.17570448,0.5916747157995774,1.0
Atp5o,-0.53658634,-0.49675843,0.5915533781015325,1.0
Vps33b,-0.5366449,-0.33219036,0.5915129347427897,1.0
Sugct,-0.5369083,-0.40013456,0.591330955351903,1.0
Atp5a1,-0.53740585,-0.5401095,0.5909872867275523,1.0
Ei24,-0.53764004,-0.106449634,0.5908255921061214,1.0
Lrp4,-0.5383425,-0.87918437,0.590340630392751,1.0
Sapcd2,-0.538401,-0.4869713,0.5903002251908969,1.0
Mab21l4,-0.5384303,-0.8135826,0.5902800230674969,1.0
Pax8,-0.53875226,-0.363622,0.590057820725077,1.0
Spryd7,-0.5409181,-0.5341216,0.5885640074689259,1.0
Zranb3,-0.5424401,-2.0537224,0.5875153469481302,1.0
Helq,-0.5428499,-0.40502113,0.5872331630586194,1.0
Pard3,-0.54364014,-0.17686361,0.5866891285399155,1.0
BC051226,-0.544167,-0.40900862,0.5863265686661319,1.0
Tmem125,-0.54551333,-0.17111203,0.5854004990952026,1.0
Kif20b,-0.5459524,-0.63836044,0.5850986668339375,1.0
St14,-0.54653776,0.17535329,0.5846963363515465,1.0
St6galnac2,-0.54685974,-0.25779074,0.5844751094373095,1.0
Pitpnm2,-0.5473866,-0.7452037,0.5841131857765448,1.0
Taf1d,-0.54805976,-0.08250428,0.5836508796421594,1.0
Tmem44,-0.5486159,-1.0480884,0.5832691031941601,1.0
Fermt1,-0.54905486,-0.34721166,0.5829677829939993,1.0
Mgat4b,-0.5491427,0.001969687,0.5829075276677262,1.0
Nif3l1,-0.5497281,-0.1460683,0.5825058997559027,1.0
Bche,-0.54993296,-0.35593292,0.5823653605106551,1.0
Prlr,-0.5501378,-1.0136303,0.5822248370992751,1.0
Iqcg,-0.55025494,-1.3933563,0.582144545117725,1.0
Hsd17b14,-0.5531818,-24.321934,0.5801389285856464,1.0
5033406O09Rik,-0.55379647,-0.06710651,0.5797181609502695,1.0
Mid2,-0.5544404,-0.25831503,0.5792775103539578,1.0
Pycard,-0.55473304,-0.22919391,0.5790772666173698,1.0
Nhsl1,-0.5549087,-0.035421252,0.5789571359793433,1.0
Ovca2,-0.55648917,-0.27053306,0.5778764873180717,1.0
Nars2,-0.55739653,-0.5223437,0.5772565440718109,1.0
9330151L19Rik,-0.558099,-1.0021393,0.5767768032675409,1.0
Trmt2b,-0.5587429,-0.16434559,0.576337206047497,1.0
Ndufa5,-0.5588307,-0.34988394,0.5762772732211416,1.0
E230025N22Rik,-0.5597673,-1.6010451,0.5756381727852056,1.0
Sh3rf2,-0.56020635,-1.7095561,0.5753387097453293,1.0
Polr3g,-0.5603234,-0.6404421,0.575258865370651,1.0
Echs1,-0.56093806,-0.31860176,0.5748397683509201,1.0
Khdrbs3,-0.56128925,0.07138441,0.5746003491971126,1.0
Hectd3,-0.5614649,-0.206214,0.5744806573168315,1.0
Pygb,-0.5629283,0.08694243,0.5734836841536629,1.0
Ildr1,-0.56424546,0.39668816,0.5725871102050146,1.0
Sertad2,-0.5643625,-0.115881205,0.5725074469612024,1.0
Reep4,-0.56518203,-0.22763585,0.5719499516718728,1.0
Ccar2,-0.56538695,-0.07769256,0.5718106181774718,1.0
Sez6l2,-0.56670403,-0.59476835,0.5709152883911284,1.0
Neurl4,-0.56825525,-0.0488015,0.5698616456725244,1.0
Ttc30a1,-0.5689285,-1.4482076,0.5694046932517793,1.0
Trpm5,-0.56977725,-1.8383657,0.568828785268251,1.0
Gm44386,-0.5716212,-24.321934,0.5675786347305165,1.0
Nipal2,-0.5723529,0.036286123,0.567082908093857,1.0
Zfp612,-0.573231,-0.7412605,0.5664883101358766,1.0
Map3k13,-0.57355297,-0.9154228,0.5662703658362038,1.0
Tmem41b,-0.57372856,-0.010396258,0.5661515040877545,1.0
Gk5,-0.5738749,-0.62902546,0.5660524617783576,1.0
Gm48529,-0.57700664,-0.17500252,0.5639349522238616,1.0
Per3,-0.57712376,-0.39421624,0.5638558670311777,1.0
Muc3,-0.57870424,-1.8094394,0.5627887402071541,1.0
Myorg,-0.58104575,-0.60114086,0.5612096053935817,1.0
Sox13,-0.58201164,-0.18365587,0.5605588374347745,1.0
Gm36266,-0.58303607,-0.7676337,0.5598690286478887,1.0
Gdpd2,-0.5831531,-0.8955651,0.5597902195746769,1.0
Cog2,-0.58353364,-0.10227895,0.5595341272484339,1.0
Slc25a42,-0.58508486,-0.83580744,0.5584906471850379,1.0
Gemin2,-0.5853776,-0.42398295,0.5582938702606672,1.0
4930481A15Rik,-0.5873093,-0.37114137,0.5569959885643809,1.0
ccdc198,-0.58742636,-1.4494265,0.556917376334046,1.0
Gm2061,-0.5879532,-1.3187722,0.5565636882098479,1.0
Fmo2,-0.58821666,-0.50130796,0.5563868852214087,1.0
Hcn2,-0.5891825,-0.41698647,0.5557388420216602,1.0
Amot,-0.5896801,-0.61448175,0.5554051454441402,1.0
Gm28588,-0.58991426,-0.28969342,0.555248145630935,1.0
Ppp6r2,-0.59049964,-0.588141,0.5548557409809024,1.0
Tspan12,-0.59085083,-0.22344388,0.5546203632815356,1.0
Coq8a,-0.5940119,-0.33709818,0.5525041641001107,1.0
Ccdc34,-0.59412897,-0.21578988,0.5524258625068179,1.0
AW146154,-0.59430456,-0.5340753,0.552308420328925,1.0
4930447F24Rik,-0.59600216,-1.421034,0.5511737781838124,1.0
Rapgef4,-0.5961192,-1.4346827,0.5510955692720627,1.0
Acy3,-0.5965583,-0.28676146,0.5508023344697108,1.0
Hpdl,-0.5966168,-0.505653,0.5507632422972364,1.0
Slc23a3,-0.5971729,-0.26305053,0.5503919347630108,1.0
Efna3,-0.5973485,-1.7824869,0.55027470536259,1.0
Eci3,-0.5999535,-0.3742423,0.5485372478893442,1.0
Gm15446,-0.6020315,-0.6891131,0.5471531315591092,1.0
Setd4,-0.6025291,-0.3689411,0.5468219800653178,1.0
Atl2,-0.6060999,-0.24316986,0.5444483965925593,1.0
Chn2,-0.6060999,-0.2279523,0.5444483965925593,1.0
Rassf6,-0.6082951,-0.1812487,0.542991772167647,1.0
Mbp,-0.6083536,-0.32174873,0.5429529554377248,1.0
Ppil1,-0.6093488,-0.08861328,0.5422932825898017,1.0
Celf5,-0.611661,-0.8687264,0.5407620580887889,1.0
Irs1,-0.612744,-0.6365179,0.5400456461319771,1.0
Ang4,-0.6140025,-0.7233816,0.5392136563761231,1.0
Zfp661,-0.6143245,-1.4346827,0.5390009249867262,1.0
Capn8,-0.61473423,-0.6622955,0.5387302367943012,1.0
Zfyve16,-0.6152611,-0.15484963,0.5383823093003256,1.0
Mkx,-0.6205002,-0.81904775,0.5349285095842435,1.0
Gm9926,-0.6211734,-0.44059795,0.5344855367459707,1.0
Pkp1,-0.62225634,-0.26677987,0.5337733169172652,1.0
Nudt22,-0.6224905,-0.20352605,0.5336193865064401,1.0
Fars2,-0.6229588,-0.23007914,0.5333115929942596,1.0
Fsd1l,-0.62360275,-0.6160859,0.5328885235179831,1.0
Pigw,-0.6241588,-0.64931196,0.5325232820157904,1.0
Nyap1,-0.6253589,-2.2042959,0.5317355612655026,1.0
Mpnd,-0.6261491,-0.10403728,0.5312171409928536,1.0
Il17re,-0.6269686,-0.4526593,0.5306797908571554,1.0
Nadsyn1,-0.6269686,-0.2969685,0.5306797908571554,1.0
H1f0,-0.6279345,-0.2920517,0.5300468397239222,1.0
Fhit,-0.6281101,-0.4275877,0.5299317989208816,1.0
6720427I07Rik,-0.6295736,-0.8687264,0.5289736192201321,1.0
Hif3a,-0.63211995,-1.1948932,0.5273084907516599,1.0
Plch1,-0.63258827,-0.4404856,0.5270025515859689,1.0
Mettl27,-0.6327346,-0.40528056,0.5269069641787174,1.0
Gm15706,-0.63308585,-0.5609393,0.5266775905145583,1.0
Tgfbr3l,-0.6332322,-1.5140542,0.5265820332047366,1.0
Gfi1,-0.6338761,-0.4365069,0.5261616862540344,1.0
Oma1,-0.6356322,-0.17093147,0.5250161576347949,1.0
Acss2,-0.63721275,-0.19466242,0.523986274497127,1.0
Csrp2,-0.6375347,-0.33573106,0.5237766105368733,1.0
Tcf7l1,-0.63785666,-0.4249425,0.5235669896076558,1.0
Vmac,-0.63908595,-0.3081459,0.5227670148312645,1.0
Iba57,-0.6410177,-0.37891385,0.5215111811717295,1.0
Etnppl,-0.643008,-1.7824869,0.5202189174460318,1.0
Scrn2,-0.6439739,-0.32219678,0.5195923849272552,1.0
Ugt8a,-0.6447641,-3.158075,0.5190800571668184,1.0
Stc2,-0.6455836,-0.30279347,0.5185490299649139,1.0
2810002D19Rik,-0.6455836,-0.7243677,0.5185490299649139,1.0
Krt18,-0.6479544,0.7535096,0.5170144264221137,1.0
Atad3a,-0.6486569,-0.13535362,0.5165601812258975,1.0
Smim38,-0.64877397,-0.6570484,0.5164844938078968,1.0
Bsn,-0.64944714,-0.831492,0.5160494027327889,1.0
Hmga2,-0.64962274,-1.4346827,0.5159359319856811,1.0
Dnaja3,-0.6497398,-0.14535391,0.5158602920120812,1.0
Slc16a9,-0.6510862,-1.0941635,0.5149908460069447,1.0
A130010J15Rik,-0.65170085,-0.5727771,0.5145941782312187,1.0
Apol7a,-0.65205204,-0.595989,0.5143675822500148,1.0
Pbld1,-0.6538082,-3.0735197,0.5132353809941216,1.0
Adck2,-0.6540131,-0.2715883,0.5131033754388805,1.0
Large2,-0.65723264,-0.8955651,0.5110313272351354,1.0
Rnf8,-0.65793514,-0.26836884,0.510579825616609,1.0
Mep1b,-0.6580815,-0.3523353,0.510485789034019,1.0
Golim4,-0.6594278,-0.14866443,0.5096210775233383,1.0
B930095G15Rik,-0.6601595,-0.56668377,0.50915144741537,1.0
Wrb,-0.6611254,-0.21185641,0.5085318829745346,1.0
Mir205hg,-0.66127175,-1.7824869,0.508438044068632,1.0
Ndufa10,-0.66168153,-0.30533803,0.5081753434448883,1.0
Tuft1,-0.66168153,-0.13404329,0.5081753434448883,1.0
Bphl,-0.66449136,-0.112178355,0.5063758875466566,1.0
Slc7a9,-0.66484255,-0.3151683,0.5061511914092178,1.0
Ssh3,-0.6657499,-0.34734032,0.5055709692476276,1.0
Atpaf1,-0.66618896,-0.17111203,0.5052903423599435,1.0
Fam83c,-0.66636455,-0.94852954,0.5051781145815202,1.0
Ttll6,-0.667067,-0.7997467,0.5047293348110777,1.0
Mfsd6,-0.66920364,-0.09706202,0.5033655891470716,1.0
Cyb5b,-0.67259884,-0.25151736,0.5012025508697348,1.0
Ubxn10,-0.67283297,-0.85967374,0.501053557527122,1.0
