gene,mean_marco_spots,pct_marco_spots,mean_neighbors,pct_neighbors,mean_distant,pct_distant,log2fc_neighbor_vs_distant,pval,padj
Ifng,0.5937,22.5,0.3273,9.6,0.0237,2.3,3.321,8.48859230583741e-20,4.914962314860066e-18
Mmp13,18.7556,69.2,3.0158,42.7,0.3448,22.8,3.092,8.804371612664835e-36,2.518913454909659e-33
Il22,0.4,13.3,0.118,4.4,0.0068,0.5,2.931,1.0782532170690667e-15,3.846648579524389e-14
Il11,5.8762,61.0,1.146,31.9,0.1429,11.6,2.918,1.385256024690471e-44,9.187395752844848e-42
Cxcl10,23.5968,78.1,5.0134,48.1,0.6578,28.2,2.911,1.692821774891062e-34,4.186434324989065e-32
Il1a,1.7746,36.8,0.5742,15.9,0.0687,4.5,2.892,1.2847498927789113e-27,1.6737308647800977e-25
Cxcl1,4.0413,50.8,0.7092,26.2,0.0878,7.5,2.879,5.073874452017076e-47,4.3548765958459504e-44
Acod1,3.2984,50.5,0.9465,25.4,0.1221,8.0,2.856,1.2374022877535362e-41,4.8797126434086074e-39
Il1b,24.8476,83.2,6.6642,59.4,0.9801,36.3,2.753,2.555800302915077e-50,2.868590939987222e-47
Clec4e,2.9937,53.7,0.7616,24.0,0.1047,7.7,2.749,4.950115812101095e-38,1.641525904871979e-35
Cemip,5.7524,65.1,1.1545,33.6,0.1633,13.0,2.749,1.6865900307248786e-44,1.0699580494915958e-41
Mmp10,13.946,80.0,2.5876,50.4,0.3813,24.8,2.731,4.7482407199774045e-54,9.897368620741472e-51
Csf3,1.0889,34.6,0.2457,14.8,0.0288,2.6,2.719,4.420617594993778e-39,1.5357436030608146e-36
F10,0.9048,33.3,0.2543,13.1,0.0322,2.9,2.646,6.223977412614573e-29,9.764952088974112e-27
Ccl4,7.6952,64.8,2.4976,40.6,0.3944,20.6,2.632,1.5978495629427488e-35,4.483504417864932e-33
Cxcl2,5.6159,56.2,1.7871,33.0,0.293,16.3,2.568,4.5881548951673296e-29,7.276713921237663e-27
Cxcl3,2.0286,41.3,0.5,15.7,0.0827,4.9,2.46,1.4745022734506407e-24,1.3970430306440455e-22
Il6,0.8762,29.5,0.1983,9.5,0.028,2.4,2.455,2.384903867141924e-18,1.167722561257309e-16
Cxcl9,14.9048,76.8,3.1204,51.0,0.5619,28.8,2.452,4.5785977372559964e-43,2.303666192562146e-40
Saa3,83.4508,95.2,18.3017,85.3,3.3622,67.6,2.441,7.469185108251392e-68,3.6327626638165354e-64
Hp,16.6635,83.2,4.5219,56.9,0.8316,32.5,2.429,1.0036510793773355e-50,1.3312975362904277e-47
Lcn2,13.5778,73.3,2.6472,51.0,0.4919,25.6,2.404,2.7360541425095404e-56,6.6536276655594505e-53
U90926,0.5714,20.3,0.101,5.8,0.0115,1.1,2.371,2.9473919806756306e-15,9.685900087846424e-14
Retnlg,4.054,61.3,1.1375,34.8,0.212,13.4,2.37,9.820762348233798e-46,7.541828601214702e-43
Wfdc21,1.181,41.0,0.3455,16.8,0.0589,5.0,2.366,2.002161483423442e-27,2.4757235766636812e-25
Serpina3f,1.927,50.5,0.4659,21.0,0.0827,6.7,2.36,2.2843573638751313e-32,4.6945152530002876e-30
Hdc,0.9238,43.8,0.3345,18.2,0.0573,4.5,2.357,2.5706070549924793e-36,7.814109904040681e-34
Clec4d,1.1111,39.7,0.3516,17.9,0.0606,5.0,2.356,1.2239181997998898e-31,2.446327459353451e-29
Ccl3,1.381,35.6,0.3759,15.2,0.067,4.9,2.325,6.677893307894301e-23,5.413174514193652e-21
Rnd1,0.5492,28.3,0.2032,12.3,0.0331,3.2,2.307,2.4828912344218697e-23,2.0820612644511208e-21
Fpr2,0.4667,26.3,0.1618,11.2,0.025,2.3,2.294,6.068330189301025e-26,6.607686999409796e-24
Osm,0.819,34.6,0.2165,12.0,0.0365,3.2,2.285,3.7225847439425533e-22,2.785447897377733e-20
Ptgs2,4.2825,60.3,1.2202,36.5,0.2498,17.0,2.243,2.18212921125307e-37,7.075432738087453e-35
Ubd,4.8254,63.2,1.5292,38.7,0.3155,17.4,2.241,7.65516664057645e-42,3.1913296129328854e-39
Ccl2,7.8667,68.6,1.5195,41.1,0.3155,21.5,2.232,1.548456849675597e-32,3.286572965023475e-30
Iglc1,0.5778,21.9,1.365,17.6,0.2841,15.8,2.225,0.19380699356364584,0.3382985815393177
Stc1,0.9937,31.4,0.2105,13.3,0.0373,3.4,2.22,2.0074714782049958e-25,2.0627476294710628e-23
Il1rl1,7.673,65.4,1.5219,40.6,0.3202,20.5,2.214,2.82065110657937e-35,7.621503758536962e-33
S100a9,37.3143,94.0,11.6217,84.1,2.497,62.0,2.214,1.0246714704412864e-68,1.4950981425208811e-64
Dio2,1.2,36.8,0.264,14.2,0.0492,4.3,2.211,1.0640482497411198e-22,8.392177303769016e-21
Mcemp1,0.6952,32.1,0.2129,13.4,0.0394,3.5,2.173,7.048514658154097e-25,6.856325158475095e-23
Ly6i,0.9619,31.7,0.2956,13.0,0.0581,4.6,2.166,4.029837782871781e-17,1.6847955040080846e-15
Dusp2,1.2698,34.3,0.326,14.0,0.0662,5.6,2.142,2.5304007967613877e-15,8.41026834294884e-14
Trem1,0.7175,35.2,0.2044,12.5,0.0386,3.4,2.141,6.648248178614372e-23,5.413174514193652e-21
Inhba,1.3778,40.0,0.3893,17.8,0.0806,6.7,2.14,1.2437570509268027e-21,8.641742442891894e-20
Tmem190,0.2984,20.0,0.0803,6.0,0.011,1.1,2.102,8.735290452142745e-16,3.139325689340266e-14
Tarm1,0.5492,30.8,0.1582,8.9,0.0297,2.5,2.083,1.7520818444861162e-15,5.987031895292019e-14
Hcar2,0.4984,22.9,0.1533,8.8,0.0288,2.5,2.072,2.5530788154744047e-15,8.466357499224326e-14
Ifitm6,0.7873,33.7,0.2056,12.2,0.0416,3.6,2.064,4.065122061241849e-20,2.471424833149159e-18
Lilr4b,1.4381,45.4,0.4294,21.0,0.0988,8.6,2.014,2.6078491506909536e-23,2.174350111870383e-21
Asprv1,0.4063,25.7,0.1338,9.9,0.0259,2.6,2.003,1.841765387180539e-18,9.048215072172137e-17
Mmp12,0.5238,20.0,0.1545,8.8,0.0314,2.4,1.991,8.399897748006133e-16,3.0337353475534034e-14
Selp,0.7873,31.1,0.309,14.6,0.0704,5.3,1.988,1.7376546341651825e-18,8.682917385994581e-17
Twist2,0.5619,27.0,0.1204,7.8,0.0229,2.2,1.987,7.754714291993437e-14,2.20563423459018e-12
Ereg,3.4032,56.8,0.7324,31.5,0.179,13.6,1.974,5.921458657042368e-34,1.3500000510141437e-31
Plek,2.2063,55.2,0.7117,30.3,0.1747,13.7,1.966,2.702717456306921e-29,4.381705600552698e-27
Csf2rb,2.7079,59.0,0.7737,31.0,0.1917,15.0,1.958,1.2595014093347935e-27,1.6556202760003577e-25
Chil3,0.3556,19.4,0.1204,9.5,0.0237,2.2,1.95,1.7724172031144752e-19,9.685894910353298e-18
Tnfaip2,6.0667,81.9,1.8297,54.1,0.4707,31.1,1.936,1.1950270720958125e-45,8.718320004474999e-43
Ccl24,0.2254,13.3,0.0815,3.6,0.014,1.3,1.931,1.5436930549670054e-05,0.00011980864555863604
Nrg1,2.3651,53.0,0.674,31.5,0.1701,13.4,1.925,3.656034446661916e-34,8.745114526433445e-32
Mefv,0.6159,31.4,0.1703,11.4,0.0377,3.5,1.917,7.767707356092536e-18,3.5641074853064837e-16
Gbp4,2.6508,55.2,0.8467,33.0,0.2176,15.9,1.913,1.4525080960504416e-30,2.682727294869872e-28
Nlrp3,0.3587,21.0,0.1022,7.2,0.0199,1.8,1.906,5.011433839080485e-14,1.4624366229204672e-12
Cxcl5,7.2159,73.0,2.0876,51.0,0.55,27.9,1.905,7.943483563933141e-44,4.2927173585684614e-41
Ifi205,0.4603,26.0,0.2117,12.9,0.0505,4.9,1.874,3.651209074166818e-15,1.186520971072785e-13
Sell,0.5968,34.9,0.2153,15.5,0.0522,4.9,1.858,1.677398062148771e-23,1.4482198298705748e-21
Ctla4,0.3175,18.4,0.1107,6.7,0.0233,2.3,1.857,1.7418882331303021e-09,2.833432687804263e-08
Gpr84,0.346,22.2,0.1107,7.8,0.0233,2.3,1.857,4.805017251589702e-13,1.249732740070327e-11
Csf3r,0.8889,41.0,0.2676,17.9,0.067,6.2,1.85,1.6084261243112818e-24,1.5140997148274782e-22
Bcl2a1b,1.2063,37.5,0.3978,17.2,0.1035,7.6,1.845,1.2090790484354686e-15,4.2407866335870006e-14
Arg1,0.3905,20.6,0.2993,13.3,0.0763,5.0,1.841,1.5722142024026806e-15,5.3976888064135325e-14
Slc7a11,0.673,29.8,0.2141,12.9,0.0526,4.4,1.84,7.342472455527279e-18,3.401079860272969e-16
Lilrb4a,2.0095,53.0,0.5839,29.4,0.1561,12.8,1.839,3.4858805489250195e-30,6.279318899921599e-28
Gpr132,0.5079,30.8,0.1861,12.4,0.045,4.1,1.836,1.3592422280988397e-17,6.046555899448222e-16
Il1rn,6.2635,77.8,2.1898,53.8,0.6064,33.2,1.835,2.144136581332487e-35,5.902848463815532e-33
Gbp5,0.454,27.9,0.1071,8.8,0.0229,2.1,1.831,1.134461592815602e-17,5.108928734806311e-16
Srgn,12.7937,85.1,3.7993,69.7,1.0606,47.4,1.831,3.2081555149720606e-44,1.8724078847582933e-41
Ms4a4c,0.7968,34.3,0.2251,13.7,0.0564,5.2,1.824,2.3921109186385137e-16,9.282790003684722e-15
Cd80,0.2635,15.9,0.0718,5.1,0.0131,1.3,1.821,3.3109941641854155e-10,6.099837859801692e-09
Plaur,3.219,71.7,1.5912,48.5,0.4457,24.8,1.813,3.779536144774669e-44,2.1210466110925843e-41
Cxcr2,0.2857,22.5,0.0937,7.5,0.0195,1.9,1.813,1.0436071320511609e-14,3.2398450348422315e-13
S100a8,24.1048,90.5,8.5036,79.2,2.4135,56.3,1.813,6.952290380987782e-68,3.6327626638165354e-64
Bcl2a1d,0.3111,15.9,0.1156,6.8,0.0259,2.4,1.808,2.079153191379353e-09,3.3300685198041865e-08
Ifi204,0.7238,36.8,0.2433,15.3,0.0628,5.4,1.8,6.789077147773347e-20,3.978290147114895e-18
Ifi211,0.5937,30.2,0.2226,14.5,0.0573,5.3,1.79,5.8371624505556004e-18,2.729808888335153e-16
Olr1,0.2,12.7,0.0766,5.6,0.0153,1.3,1.778,5.860958501751846e-12,1.325848767427305e-10
Stx11,0.4254,24.1,0.1302,9.9,0.031,2.9,1.775,2.503281230670692e-16,9.662797999131235e-15
Alox5ap,1.9206,53.0,0.6107,27.6,0.1718,14.0,1.772,1.8737033759988026e-21,1.2657039795925246e-19
Bcl2a1a,0.381,21.3,0.1484,9.4,0.0365,3.2,1.769,5.545570615776224e-13,1.4262997895709327e-11
Cp,1.8159,47.0,0.4185,23.5,0.1162,10.1,1.764,1.1880393362594747e-23,1.0318263068667854e-21
Samsn1,0.2921,19.0,0.1314,10.0,0.0318,3.0,1.758,3.757097605797542e-16,1.412881731087421e-14
Emilin2,0.7302,34.0,0.2701,18.4,0.0729,6.2,1.756,2.4199880920314063e-25,2.4351756035055346e-23
Mcpt1,0.127,4.1,0.1533,3.4,0.0386,2.9,1.749,0.43331084129557884,0.5937677014785678
Atp8b4,0.146,13.0,0.045,4.3,0.0064,0.6,1.749,2.0977588164118018e-13,5.636905872976906e-12
Bst1,0.819,36.8,0.2409,15.3,0.0649,5.0,1.744,6.433341684956394e-22,4.693444426259937e-20
Serpine1,0.8095,39.4,0.2165,14.4,0.0577,5.2,1.743,5.123119053216159e-18,2.4113364550153865e-16
Sod3,5.7079,77.8,1.5572,53.5,0.4601,27.8,1.737,1.6521632369257138e-50,2.0088928158319242e-47
Adam8,0.6571,35.2,0.2275,14.7,0.0615,5.5,1.732,7.823088343586541e-18,3.578265894083737e-16
Cstdc4,0.4159,26.0,0.1314,10.3,0.0327,3.0,1.729,3.5697413114352347e-17,1.496726881469871e-15
Mcpt2,0.1397,6.0,0.1326,4.9,0.0331,2.5,1.727,0.000559253019582166,0.0028541660751043663
Mmp9,1.7048,51.7,0.472,25.7,0.1357,10.4,1.726,1.2420373503072626e-28,1.907638629298239e-26
Il1r2,0.8286,41.0,0.2628,16.1,0.0738,6.6,1.703,4.326594532861395e-17,1.7883665957218307e-15
Rab44,0.219,16.2,0.0596,5.4,0.0115,1.1,1.698,8.208149098600639e-13,2.0507723201657863e-11
Ms4a6d,1.9333,53.3,0.5949,28.0,0.1768,13.7,1.695,1.7686691946683188e-22,1.372694266989651e-20
Gbp2,7.3048,78.7,2.7628,62.0,0.852,39.6,1.686,1.1961708496013437e-44,8.311108984063432e-42
Calhm6,0.8952,42.5,0.2956,20.6,0.0852,8.1,1.682,7.972084228272393e-24,7.049738240892272e-22
Prss22,0.4222,19.0,0.3686,16.4,0.1081,6.4,1.68,1.5170189103055312e-18,7.632697558713105e-17
Nos2,5.9746,66.7,2.9258,51.5,0.9135,34.2,1.669,2.7255404834285426e-27,3.341879091908056e-25
Cd274,1.1651,45.4,0.5073,24.0,0.1527,11.5,1.669,1.915084638742937e-19,1.0426492523842611e-17
Ptges,2.2,56.2,0.5815,30.4,0.1764,14.6,1.666,3.871776410995791e-26,4.31244958876638e-24
Sirpb1c,0.2159,14.0,0.0754,6.4,0.017,1.6,1.664,7.371936341426556e-13,1.8577534224137286e-11
Slfn1,0.346,20.0,0.0888,6.9,0.0212,2.0,1.663,1.069053558147499e-11,2.3562780161525917e-10
Fgf7,1.1492,36.8,0.3102,19.1,0.0916,8.0,1.656,4.370413127205895e-19,2.3188617432385894e-17
Slc15a3,0.9651,44.8,0.3735,24.8,0.112,9.5,1.653,1.6276891194906054e-29,2.7459312546524764e-27
Ifi209,0.4095,24.4,0.1691,11.6,0.0475,4.3,1.639,7.542834248038478e-14,2.1537670159125133e-12
Mmp8,0.4413,25.1,0.1083,8.5,0.028,2.5,1.638,4.707627038884297e-14,1.3765327880633423e-12
Il2ra,0.2571,15.6,0.0779,5.8,0.0182,1.8,1.638,1.2351560002603411e-09,2.0596755656912727e-08
Ltb4r1,0.4508,28.3,0.1691,13.3,0.0479,4.5,1.629,3.608219521637285e-18,1.7149032912120396e-16
Olfr56,0.0635,6.0,0.0511,4.3,0.0098,1.0,1.629,1.3295286455924165e-09,2.1969595093815345e-08
Csf2rb2,0.6127,30.8,0.1898,13.7,0.0547,4.8,1.626,3.705207788165316e-18,1.755282040166238e-16
Mmp3,7.8476,69.5,1.6594,48.5,0.5348,27.9,1.616,7.831104307680197e-36,2.2852728590672352e-33
Il1f9,0.2349,17.1,0.0608,4.5,0.0131,1.3,1.613,2.539777007175742e-08,3.4154733927835257e-07
Igfbp5,13.927,90.8,4.5973,76.3,1.4996,57.3,1.61,7.838902588496985e-51,1.143774276687595e-47
Cd40,0.7746,35.2,0.2518,15.0,0.0759,6.9,1.608,5.091293780142005e-13,1.3148153547973805e-11
Fcer1g,8.3905,77.1,2.9051,61.2,0.9478,41.1,1.606,6.128953563901305e-35,1.568904586857613e-32
Pi15,0.327,18.7,0.1131,8.3,0.0305,2.8,1.603,2.0859650302439535e-11,4.4238831041118495e-10
Fgr,0.6127,33.3,0.2202,15.3,0.0662,6.0,1.596,2.6977110240069204e-17,1.1611298392709433e-15
Tacstd2,0.0921,8.9,0.0304,2.7,0.0034,0.3,1.593,2.3597527129013973e-09,3.746588882910151e-08
Tnfrsf4,0.3587,23.5,0.1375,10.1,0.0394,3.7,1.577,2.3328377694915506e-12,5.5167643265236974e-11
Smoc1,1.2444,44.4,0.2676,17.8,0.0831,7.7,1.576,5.109027894400534e-17,2.0881183755517703e-15
Ptafr,0.8,39.4,0.2689,19.3,0.0844,7.5,1.563,3.048081202019495e-22,2.328510618778348e-20
Serpine2,3.5492,59.4,1.1363,42.7,0.3783,19.3,1.562,1.025862071693725e-42,4.677610465025982e-40
Hmox1,0.981,36.8,0.2591,15.5,0.0818,6.7,1.551,1.1585559459647613e-14,3.5738879085775543e-13
Tff1,0.1048,6.7,0.0268,2.2,0.0025,0.3,1.551,3.3437349581009074e-08,4.4152431469366824e-07
Serpina3g,3.0127,61.6,0.7762,33.3,0.2595,18.3,1.544,2.164885238574641e-22,1.671314313018126e-20
Il17a,0.3968,12.4,0.0401,2.9,0.0072,0.7,1.543,6.558542690886898e-07,6.8945026226751244e-06
Il12a,0.1524,10.2,0.0487,3.6,0.0102,1.0,1.54,4.5999228213065187e-07,4.9827374822333635e-06
Trim30b,0.1873,14.9,0.0803,6.9,0.0212,2.0,1.533,1.1506056531019871e-11,2.5245845239715933e-10
Tnfrsf9,0.5556,30.2,0.1399,10.5,0.042,3.9,1.528,7.847649350251105e-13,1.9708270511103936e-11
Ifitm1,16.3873,88.9,5.7895,78.5,2.0025,59.4,1.527,4.325446188078691e-50,4.508041809304013e-47
Pirb,1.6444,53.0,0.5377,31.1,0.1807,14.6,1.522,9.857210058476598e-28,1.319509651038826e-25
Mt4,0.1587,11.1,0.1241,8.6,0.0369,3.4,1.516,1.4220301129606368e-09,2.339215487960389e-08
Iigp1,4.9714,76.5,1.7251,52.1,0.5967,32.9,1.516,1.554201456970871e-32,3.286572965023475e-30
Tnf,0.9429,30.8,0.4112,18.0,0.1374,9.9,1.515,1.0509291498432674e-10,2.063809855365157e-09
Rbp1,2.9556,68.9,1.2251,48.3,0.4224,23.9,1.514,2.304288618016466e-46,1.867881956971014e-43
Gm21188,0.1778,13.3,0.045,3.4,0.0093,0.9,1.509,4.3253519443430637e-07,4.71683185500072e-06
Gzmc,0.1111,7.6,0.0438,1.7,0.0089,0.7,1.509,0.008687142712772194,0.029540119334745374
Trem3,0.1048,8.3,0.0426,3.6,0.0085,0.8,1.508,2.6555057957529716e-08,3.561257818550699e-07
AI839979,0.0857,6.0,0.0353,3.3,0.0059,0.6,1.506,3.837131581707722e-09,5.856442145261231e-08
Aldh1a3,1.3048,33.3,0.9063,29.9,0.313,19.5,1.504,1.4017098821246326e-11,3.0480400730373345e-10
Gm28710,0.2127,10.5,0.0268,2.2,0.003,0.3,1.503,1.1993482661813134e-07,1.4510522845648048e-06
Sprr2h,0.4825,17.5,0.3066,11.2,0.1022,5.8,1.496,1.3747082538467281e-07,1.6414376539998046e-06
Clec5a,0.2603,17.5,0.0852,6.4,0.0237,2.2,1.495,6.844662054839988e-09,1.0027155024314283e-07
Arl5c,0.4889,25.7,0.1873,12.5,0.0602,5.2,1.491,6.732384903930294e-13,1.699519517876244e-11
Cd14,4.7683,75.2,1.6886,52.6,0.5946,38.5,1.49,4.2322707655532256e-20,2.5623677485554816e-18
Pilra,0.654,35.6,0.1886,14.4,0.0611,5.6,1.482,9.076341371713887e-16,3.245904337124444e-14
Ly6c2,0.3937,24.4,0.1533,12.0,0.0488,4.5,1.474,1.398190182773707e-14,4.2769377268031775e-13
Trim10,0.2603,12.1,0.2105,10.2,0.0696,5.0,1.471,6.328517921460216e-08,8.02951347756748e-07
Slc36a2,0.1778,14.0,0.0669,5.8,0.0178,1.7,1.467,4.21838014510287e-10,7.62706130076778e-09
Pfkfb3,1.5365,50.5,0.6363,32.8,0.2252,16.5,1.458,5.742097660578408e-26,6.299469696654102e-24
Ccr1,1.1841,44.8,0.4343,25.7,0.1518,12.8,1.457,1.2108845645662856e-19,6.848068481235144e-18
Pla1a,1.0127,42.5,0.3151,20.1,0.1086,8.9,1.455,1.8266968546885137e-18,9.004504664445981e-17
Morrbid,0.5175,29.2,0.1959,14.7,0.0653,5.9,1.451,8.53887940708857e-16,3.0763157883661563e-14
Msr1,0.6127,36.8,0.2567,16.7,0.0878,7.6,1.447,1.454755412837262e-14,4.43138543396837e-13
Spp1,0.4984,21.0,0.1387,8.8,0.045,3.0,1.436,5.605931532232643e-12,1.2760709358316146e-10
Igsf6,0.381,25.7,0.1326,10.0,0.0428,4.1,1.432,1.324354894065801e-10,2.55266344244572e-09
Csgalnact1,0.2032,16.8,0.09,7.5,0.0271,2.6,1.429,3.1035385212392106e-10,5.724871120531141e-09
Fcgr3,2.3365,63.5,0.8102,37.8,0.2947,20.8,1.428,1.6901788065469644e-24,1.5808589080978692e-22
H2-Q7,4.473,75.2,1.6131,56.6,0.5941,36.6,1.426,1.5214571665033461e-34,3.8275140545604004e-32
H2-Q6,1.4127,48.6,0.4015,21.3,0.1433,11.8,1.424,1.1978295756941733e-12,2.9423453432581956e-11
Cebpb,11.3683,92.7,4.3577,82.7,1.6213,64.1,1.421,5.5451593053521594e-58,2.022735485609834e-54
Slfn2,1.727,64.1,0.6691,36.7,0.2443,19.3,1.417,4.6400038362743076e-27,5.595231072320531e-25
Gbp3,1.254,51.1,0.4161,25.5,0.1497,12.7,1.416,1.4508635448187647e-19,8.049258548460302e-18
Socs1,3.9238,70.5,1.6752,51.7,0.6226,33.8,1.414,2.8237384472553727e-28,4.2475430601962006e-26
Fpr1,0.3079,20.6,0.056,4.7,0.0148,1.4,1.409,1.4823787402639301e-08,2.0619054527350814e-07
Themis2,0.5841,36.2,0.236,16.5,0.0827,7.3,1.408,2.0540754337147047e-15,6.905763745007202e-14
Hk3,0.4508,28.3,0.1436,12.2,0.0479,4.5,1.407,9.409327645596197e-15,2.9461695209633933e-13
F830016B08Rik,0.073,5.4,0.0389,3.0,0.0085,0.8,1.405,2.2684558660839005e-06,2.116306876088887e-05
Il27,0.1556,11.7,0.0377,3.2,0.0081,0.8,1.402,7.952471045031129e-07,8.200032192611562e-06
Ltbp2,0.1873,14.9,0.1071,8.8,0.0344,2.9,1.4,1.4196599190003691e-12,3.446631926478267e-11
Emb,0.9619,43.2,0.3881,24.2,0.1412,11.7,1.396,7.883412746338097e-19,4.0934831096732806e-17
Ier3,4.2921,74.9,1.972,59.6,0.743,40.2,1.396,4.0482251014250353e-32,8.203840618735096e-30
Ido1,4.7079,58.1,2.6363,42.3,0.9975,33.5,1.393,2.3988345935848366e-09,3.800368681324251e-08
Hilpda,1.2317,41.6,0.8504,29.0,0.3181,18.8,1.391,7.589814663169047e-11,1.5128823189931635e-09
Slc11a1,0.4921,29.5,0.18,13.5,0.0628,5.6,1.385,1.0980798504891525e-13,3.0576494462761877e-12
Il10ra,0.8476,44.4,0.3309,21.5,0.1209,10.6,1.381,1.5381013040864428e-16,6.0167389082909615e-15
Clec4n,2.0857,56.8,0.7494,31.9,0.2824,19.4,1.377,1.9105857098110494e-15,6.498218203229142e-14
Spi1,1.4603,53.0,0.5499,33.1,0.2057,16.1,1.376,1.1354679902288133e-27,1.5061466768571466e-25
Cd86,0.4222,24.4,0.1314,9.4,0.0445,4.2,1.375,2.1139761025823834e-08,2.8800210376078015e-07
Gpc3,0.0984,7.9,0.0839,7.1,0.0263,2.5,1.372,2.033131286303666e-09,3.2671165857331265e-08
Ifitm3,27.6857,94.0,9.3662,84.9,3.6183,71.2,1.37,1.3309866683143628e-48,1.2137766548359293e-45
Adora3,0.054,4.8,0.0268,2.4,0.0042,0.4,1.368,2.8593346488121177e-07,3.2341513070401248e-06
Il18rap,0.3143,22.2,0.0998,8.0,0.0327,3.2,1.364,4.7134380130320655e-09,7.112075909839801e-08
Ptgs2os2,0.1397,8.9,0.0255,2.3,0.0038,0.4,1.363,3.3735490340765127e-07,3.740384039225714e-06
Itgb2,1.4095,56.8,0.5584,32.8,0.2112,17.4,1.362,7.082299136504913e-23,5.6779025659749e-21
Col5a3,1.3397,43.2,0.4124,25.5,0.1548,12.6,1.358,5.393922122012991e-19,2.841253345931103e-17
Ccl7,2.2032,48.6,0.5766,27.1,0.2188,15.9,1.358,5.827174087782932e-14,1.6903438790226791e-12
Slfn8,0.1746,14.3,0.0523,4.3,0.0144,1.3,1.351,3.288986031653631e-07,3.649398873601379e-06
Adamts7,0.3492,22.2,0.1302,11.4,0.045,4.3,1.351,2.1925373090163744e-13,5.880755859532705e-12
Gja4,0.3333,21.6,0.2068,12.9,0.0751,6.4,1.35,2.324579830569009e-09,3.698794362904298e-08
Stfa1,0.1079,8.9,0.0401,3.8,0.0098,1.0,1.344,8.98549236780151e-08,1.1167574032248028e-06
Tyrobp,8.5429,85.4,3.1606,69.7,1.2388,48.0,1.344,6.017564172202675e-43,2.832331575374491e-40
Tnfsf11,0.254,18.4,0.0864,6.2,0.028,2.7,1.343,2.173114146601288e-06,2.036474535199704e-05
Ly6d,4.0476,62.9,2.8893,54.5,1.1327,40.1,1.343,1.7177027486021931e-19,9.422180753704736e-18
G0s2,0.981,44.8,0.59,31.6,0.2269,14.9,1.341,1.6079563604139e-27,2.0225595909309666e-25
Gbp6,1.3175,46.7,0.3175,20.3,0.1196,9.7,1.338,3.95559971815771e-16,1.4837057965974075e-14
Ctla2a,1.8286,53.7,1.3418,38.3,0.5271,23.2,1.332,5.755060528443516e-19,3.0205787111697606e-17
Tnfaip6,0.3143,21.6,0.1144,8.0,0.0394,3.7,1.331,3.8889198749778347e-07,4.269618502317651e-06
Pla2g7,1.8349,54.3,0.6375,32.7,0.2477,17.6,1.329,6.926541030332888e-22,4.97857931889592e-20
Rasgrp4,0.2254,18.4,0.0779,6.6,0.025,2.5,1.327,3.177172489070827e-08,4.2143748898211304e-07
Igfbp4,17.0063,92.4,6.2238,82.0,2.4767,64.8,1.326,2.6929798277946554e-53,4.911658583418978e-50
Gm11714,0.0127,1.3,0.0182,1.3,0.0013,0.1,1.325,6.28289638445783e-06,5.332969234765805e-05
Batf,0.6095,31.7,0.1837,14.4,0.0674,5.9,1.323,1.2078756520298913e-14,3.718167434339271e-13
Ccrl2,0.3556,21.0,0.1314,9.2,0.0466,4.3,1.32,8.449737703800944e-08,1.0528618517178442e-06
Sirpb1b,0.1143,9.8,0.0414,3.5,0.0106,1.1,1.318,2.278846410000415e-06,2.1241734951430785e-05
Chil1,0.2222,18.7,0.1058,9.1,0.0365,2.9,1.318,1.127495727930141e-13,3.133579079281655e-12
Serpinb2,0.0762,6.0,0.0243,1.9,0.0038,0.4,1.313,1.19422236539244e-05,9.527008492860083e-05
Gm11716,0.1016,7.9,0.0389,3.4,0.0098,0.9,1.309,9.036009871616725e-07,9.239272602435854e-06
Pik3r6,0.1873,15.2,0.0608,5.5,0.0187,1.9,1.305,6.052031252241355e-08,7.6853949522588e-07
Tfec,0.1238,10.5,0.0377,3.6,0.0093,0.9,1.304,1.225882355337373e-07,1.481926217624491e-06
Lce3b,0.1143,6.3,0.1642,6.4,0.0606,3.2,1.302,3.2032774551313225e-05,0.00022967578057897362
Ccr7,0.1746,13.0,0.0864,6.4,0.0293,2.8,1.296,2.5950725174123273e-06,2.3844271474536062e-05
Col12a1,4.8698,79.0,1.5998,59.4,0.6484,39.6,1.29,2.2672011335221536e-33,5.089343344495653e-31
Krt13,0.1143,8.6,0.0888,7.1,0.0305,2.8,1.285,4.8117261180786186e-08,6.191172468155655e-07
Selplg,1.0254,44.4,0.4185,28.1,0.1658,13.7,1.285,8.135006130057695e-22,5.762032739984069e-20
Dcn,19.346,88.3,6.5754,78.2,2.6993,55.6,1.281,1.0270004059235228e-57,2.9969925845660243e-54
Col7a1,0.1333,11.1,0.0523,4.4,0.0157,1.6,1.278,3.3542050865350686e-06,3.0210621245452587e-05
Epha7,0.2286,12.7,0.2032,14.1,0.078,6.1,1.276,3.3819014221197274e-13,8.907098131795839e-12
Gpr68,0.1143,10.5,0.0511,4.4,0.0153,1.5,1.274,1.2217957670676717e-06,1.2168752243880135e-05
Ccr2,0.5683,33.0,0.2664,19.0,0.1043,8.9,1.274,1.2726598328891355e-15,4.4350354851535015e-14
Adssl1,0.2032,13.3,0.0766,6.1,0.0259,2.5,1.272,6.635045629728711e-07,6.969902864173623e-06
Cd300lf,0.3397,23.8,0.1509,11.8,0.0568,5.2,1.267,9.296262976857774e-11,1.8404582509542983e-09
Apobr,0.1968,14.3,0.0681,6.6,0.0225,2.2,1.266,1.1523640340781366e-09,1.9304412883161987e-08
