gene,mean_marco_spots,pct_marco_spots,mean_neighbors,pct_neighbors,mean_distant,pct_distant,log2fc_neighbor_vs_distant,pval,padj
Txnrd3,0.0603,5.7,0.0633,5.8,0.0458,4.4,0.393,0.08689729852530532,0.18504356141020578
Emp2,0.346,27.0,0.2603,21.5,0.1959,17.3,0.393,0.0042160419607669974,0.016112170835398443
Abca2,0.1968,16.5,0.1363,11.4,0.1014,7.9,0.393,0.002376385950625152,0.009861731344019225
Ptpdc1,0.0413,4.1,0.0304,3.0,0.0208,2.0,0.393,0.06911801235547212,0.15562355605225814
Fdps,2.4,74.9,2.354,73.8,1.7909,68.4,0.393,3.422771061424988e-08,4.5114410620823846e-07
Ppp1r1a,0.0413,3.8,0.0499,4.5,0.0356,3.1,0.392,0.050256487564980225,0.12114528499266916
Atp11a,0.8095,47.3,0.5389,34.9,0.4084,28.4,0.392,0.00018586393988774945,0.0010839091714237219
Rcbtb2,0.2921,25.1,0.2591,21.0,0.1951,16.7,0.392,0.003779637947931325,0.014655513499406317
Igf2bp1,0.0063,0.6,0.017,1.7,0.0106,1.0,0.392,0.11990380840655837,0.2353724763334401
Adcy9,0.0159,1.6,0.017,1.7,0.0106,1.1,0.392,0.1493409493992855,0.2774425506347052
Pygb,1.4413,55.2,1.6971,60.5,1.2905,57.5,0.392,0.0003975078689684659,0.0021160296665884296
Tmsb4x,76.454,100.0,46.9891,99.0,35.8096,98.2,0.392,2.4958218979541824e-10,4.644966494011413e-09
Eif1b,0.9873,53.0,0.7348,46.0,0.5577,37.8,0.392,6.88869258903247e-07,7.2103955212749475e-06
Zmat3,0.2571,23.8,0.2652,21.8,0.1997,17.3,0.392,0.003210149710263462,0.01272806913653646
Tmem38a,0.1841,15.2,0.1606,13.3,0.12,10.3,0.392,0.017610092946629994,0.052610332961563935
Rps3,20.4571,98.7,18.6727,98.1,14.2371,97.6,0.391,1.0243727038563468e-11,2.2612136341857726e-10
Pycr2,0.6889,44.8,0.6411,43.4,0.4864,34.6,0.391,2.1828312926875804e-06,2.0442677401543318e-05
Map4k5,0.3079,26.3,0.2372,20.6,0.1785,15.9,0.391,0.0016124215686848212,0.007077870971323774
Arf5,4.8349,91.4,4.4027,88.0,3.355,84.6,0.391,1.896177300099784e-11,4.0508232775630966e-10
Zc3h12d,0.0857,8.3,0.056,5.2,0.0403,3.7,0.391,0.06295798319892126,0.14423016009262166
Dnah17,0.0286,2.9,0.0231,2.3,0.0153,1.5,0.39,0.1144959087967909,0.2270775866866897
Lonrf1,0.0508,5.1,0.0487,4.6,0.0348,3.2,0.39,0.06385044821803702,0.14593388000460183
Lrrc66,0.5714,29.2,0.455,27.3,0.3448,24.7,0.39,0.09784219361908034,0.20232645225283463
Bmp6,0.1079,9.5,0.0547,4.9,0.0394,3.7,0.389,0.1360840759594974,0.2598616349070837
Nr1h3,0.5302,38.7,0.253,22.6,0.1908,16.4,0.389,8.776557303429959e-05,0.0005631431293506884
Sema6d,0.4381,30.8,0.3869,27.7,0.293,23.1,0.389,0.0036792728509387005,0.014319623944530962
Ulbp1,0.0254,2.5,0.0292,2.8,0.0199,2.0,0.389,0.15061396507103297,0.2793451588091321
Mtg2,0.1429,12.7,0.1679,15.1,0.126,11.1,0.388,0.0026201938680044407,0.010700070432346153
Gas2l3,0.0635,6.0,0.0414,3.9,0.0293,2.8,0.388,0.1023781586477774,0.2094209607219571
Pitpna,3.7365,84.4,2.8698,78.5,2.1908,73.7,0.388,1.2284581073977539e-08,1.7201950331133037e-07
Nes,0.2159,16.5,0.1107,10.2,0.0823,7.4,0.388,0.011824923127148154,0.037971611846640524
Ptk7,0.2159,18.7,0.1302,11.3,0.0971,8.7,0.388,0.024770139948449954,0.06914503768659523
Bcl2l11,0.3238,21.3,0.1423,12.0,0.1064,10.0,0.388,0.07876811855511598,0.17161499445090297
Rpl35,7.4825,91.1,6.8516,89.8,5.2337,88.0,0.388,7.797109984387761e-10,1.3624866081700818e-08
5830428M24Rik,0.019,1.9,0.0414,3.8,0.0293,2.7,0.388,0.12467219423427206,0.24299919664336947
Heyl,0.0349,2.9,0.0414,3.9,0.0293,2.7,0.388,0.08949769171132921,0.18941990422976565
Sema6a,0.1937,15.9,0.1873,15.6,0.1408,12.4,0.388,0.017659395883927002,0.052736030565366125
Pvr,0.4127,30.5,0.2762,22.6,0.2087,18.0,0.388,0.002764213583931419,0.011175572292364459
Mrpl33,3.8286,87.0,3.1545,80.2,2.4088,76.1,0.388,5.307130024897448e-10,9.52476435341681e-09
Dennd4b,0.2317,19.0,0.0925,8.3,0.0683,6.5,0.388,0.07699350157701638,0.16861564551859307
Ly6g6e,0.4159,26.3,0.3917,26.0,0.2973,22.3,0.387,0.015341604410358632,0.04711313823725209
Psmb4,4.0921,85.7,3.6764,85.3,2.81,80.4,0.387,1.603447901914404e-11,3.460933185922052e-10
Enpp4,0.1905,16.8,0.1667,14.8,0.1251,10.8,0.387,0.0020433757345768655,0.008629492139858478
Ppp4r1,0.654,42.5,0.5888,37.0,0.4478,31.8,0.387,0.0012235266945612052,0.005592817827605011
Zbtb38,0.3587,27.9,0.3102,25.2,0.2349,20.2,0.387,0.0017362570908189125,0.007539799765517486
Thap7,0.6159,41.9,0.4793,33.5,0.3643,27.9,0.387,0.0008672389269441893,0.004179103783297532
Frmd4a,0.0857,7.6,0.0973,9.0,0.0721,6.4,0.387,0.014478603551773508,0.04501540686638126
Park7,2.6698,75.2,2.5487,75.8,1.9483,71.4,0.386,1.8232602949187546e-06,1.7365007156109368e-05
Fstl5,0.0032,0.3,0.0158,1.2,0.0098,0.8,0.386,0.34608666441004465,0.509561101958321
Adcy1,0.0,0.0,0.0158,1.6,0.0098,0.9,0.386,0.09793360954194598,0.20245810382920568
Ksr1,0.5651,39.0,0.3662,26.9,0.2778,22.5,0.386,0.004156727419916047,0.015927208451679373
Apip,0.1587,14.3,0.1655,13.4,0.1243,11.4,0.386,0.10003106609825468,0.20562880888132348
Vps4a,0.6159,41.6,0.6326,41.0,0.4818,35.5,0.386,0.000295986983640141,0.0016309464041893117
4930599N23Rik,0.0032,0.3,0.0158,1.5,0.0098,0.8,0.386,0.13052520800285713,0.25171732883553904
Ift172,1.2635,46.7,1.1107,51.3,0.8478,46.0,0.386,0.0004686107187690889,0.0024454574383261005
Lonrf2,0.0095,1.0,0.0158,1.3,0.0098,0.8,0.386,0.21798810414817538,0.36907222413855034
Sorbs3,0.1524,13.0,0.1217,10.6,0.0908,8.6,0.386,0.07289773182020458,0.16194999301442878
Gtse1,0.054,5.1,0.0657,6.6,0.0479,4.5,0.386,0.02330271035371407,0.06582913381935963
6330403L08Rik,0.0635,6.0,0.0596,5.7,0.0433,4.2,0.386,0.07261826446133215,0.16156334823819735
Peli3,0.0127,1.3,0.0219,2.2,0.0144,1.4,0.385,0.1209019057658424,0.23685280706624684
Necab2,0.0063,0.6,0.028,2.3,0.0191,1.1,0.385,0.011884067733068309,0.03813512916058934
Zfand3,1.6349,71.1,1.2226,57.8,0.9338,49.3,0.385,9.066426996844928e-08,1.1258573303060795e-06
Usp35,0.1746,15.2,0.1022,9.0,0.0759,6.7,0.385,0.02889174171761566,0.07821139209679594
Stmn4,0.0063,0.6,0.028,2.4,0.0191,1.3,0.385,0.02910735573724654,0.07850377588949432
Adgrb1,0.0127,1.3,0.0219,1.7,0.0144,1.4,0.385,0.4697783168886276,0.6252997100640362
Mchr1,0.0159,1.6,0.028,2.7,0.0191,1.8,0.385,0.1161064722634421,0.2294297855899084
Armcx6,0.0317,3.2,0.028,2.6,0.0191,1.9,0.385,0.2272572124080876,0.3801777099571665
1700120C14Rik,0.0349,3.2,0.0219,2.2,0.0144,1.4,0.385,0.14552308311875042,0.2723261903021274
Diaph2,0.1524,13.7,0.0961,8.4,0.0712,6.8,0.385,0.12465065033022976,0.242989664524834
Abcb1b,0.0889,7.9,0.0341,3.0,0.0237,2.2,0.385,0.17919268341427175,0.31920405856398965
Pkd1,0.7556,50.2,0.6484,42.0,0.4941,34.4,0.385,1.9579729879213424e-05,0.00014823640592275198
Flt3,0.0413,3.5,0.0219,1.9,0.0144,1.4,0.385,0.31343039976652853,0.4758363295175755
Commd8,0.6222,41.3,0.5109,35.3,0.3889,29.1,0.385,0.0002799615163088834,0.0015525715651669534
Gimap6,0.4476,28.9,0.1825,14.6,0.1374,11.7,0.385,0.025787976157457346,0.07146539935912061
