Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,source
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),47/93,8.182377380438138e-56,1.8729461823822902e-52,0,0,58.45124586829392,7414.118664537061,RPL32;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL7;RPS15;RPS16;RPS15A;RPL18A;RPS19;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPS11;RPL18;RPS27A;RPL39;RPS13;RPS9;RPL41;RPL21;RPL22;RPL13A;RPL35A;RPS3A;RPSA;EIF3M;RPS28;RPS27;RPS29;RPL37A;RPL24;RPL27;RPL26;FAU;RPL29;RPL28;UBA52;RPS24,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),49/183,6.702611364542184e-42,7.671138706718531e-39,0,0,20.94760755048288,1985.9604880997229,RPL32;RPL34;RPLP1;RPL8;RPL9;RPL7;RPS15;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;SLC11A1;RPL22;RPL13A;RPSA;RPS3A;EEF1A1;EEF1D;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPL13;RPL18;RPS27A;RPL41;RPL35A;EEF2;RPS28;RPS27;RPS29;FAU;RPS24,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),46/158,3.253161178296204e-41,2.4821619790400035e-38,0,0,23.34844856309871,2176.6909089838764,RPL32;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL7;RPS15;RPS16;RPS15A;RPL18A;RPS19;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPS11;RPL18;RPS27A;RPL39;RPS13;RPS9;RPL41;RPL21;RPL22;RPL13A;RPL35A;RPSA;RPS3A;EEF1A1;RPS28;RPS27;RPS29;RPL37A;RPL24;RPL27;RPL26;FAU;RPL29;RPL28;RPS24,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Gene Expression (GO:0010467),54/296,1.1109294409671684e-36,6.357293725934621e-34,0,0,12.901517207351672,1068.0890822567217,RPL32;RPL34;RPLP1;RPL8;RPL9;RPL7;RPS15;RBM3;HHEX;RPS16;RPL18A;RPS19;CASP4;RPL36;CASP1;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;NUP214;RPS9;RPL21;RPL22;RPL13A;RPSA;RPS3A;EEF1A1;HNRNPH1;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPL13;RPL18;RPS27A;RPL41;RPL35A;RPS28;HNRNPK;RPS27;RPS29;HNRNPA2B1;FAU;RPS24,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Translation (GO:0006412),49/234,2.55724570738464e-36,1.1707070848406885e-33,0,0,15.133131955484895,1240.2227023888909,RPL32;RPL34;RPLP1;RPL8;RPL9;RPL7;RPS15;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;RPL22;RPL13A;RPSA;RPS3A;EEF1A1;EEF1D;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPL13;RPL18;RPS27A;RPL41;RPL35A;EEF2;RPS28;RPS27;RPS29;FAU;RPS24,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),17/118,1.3431466869076558e-10,5.1241046105527074e-08,0,0,8.82758437134036,200.6583708119055,RPS9;RPL11;RPL35A;RPS3A;RPL7;RPS15;RPS28;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL38;RPL26;RPS11;RPS13;RPS24,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),13/84,8.385621809018651e-09,2.742098331549099e-06,0,0,9.515283188492658,176.9533168217206,RPS9;RPS27L;RPS3A;RPSA;RPS15;RPS28;RPS16;RPS15A;RPS27;RPS19;RPS11;RPS13;RPS24,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),17/155,9.718276718526886e-09,2.780641926088505e-06,0,0,6.448515661524077,118.97032610328633,RPS9;RPL11;RPL35A;RPS3A;RPL7;RPS15;RPS28;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL27;RPL26;RPS11;RPS13;RPS24,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),30/525,1.569530166277243e-07,3.991838389565121e-05,0,0,3.2271461129399848,50.56072868739956,CX3CR1;IQGAP1;RTN4;PYCARD;RPS15;LGALS1;CLEC7A;TNFSF10;CASP1;S100A12;FLNA;RPL37;LYN;TGFB1;PRKCB;RHOC;RHOA;FKBP1A;FGR;DOK2;PTPRC;EEF1D;S100A4;PTPN6;CARD16;LAMTOR4;HCST;S100A9;GAPDH;S100A8,GO_Biological_Process_2023_upregulated
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),12/91,1.95865962707387e-07,4.4833718863720885e-05,0,0,7.869724339388242,121.55446580895897,RPS15;RPS28;RPS16;RPS27;RPS19;RPL11;RPL14;RPL35A;RPL27;RPL26;RPS24;RPL7,GO_Biological_Process_2023_upregulated
