names,scores,logfoldchanges,pvals,pvals_adj
DUSP1,4.455492,0.9242738,8.370101663556706e-06,0.0014272154431183583
ASAH1,4.452917,0.7838874,8.471154488449301e-06,0.0014315494732399993
BCL2A1,4.3905425,1.2391678,1.1306831397864226e-05,0.0018448654988566916
GLIPR2,4.379956,1.2225012,1.1870338934528897e-05,0.001903982245879902
CD63,4.3579245,0.675909,1.313017224558533e-05,0.0020883594125394415
GLRX,4.345621,0.9633276,1.3888209391207952e-05,0.0021724143731189495
PTGER2,4.340757,1.7291567,1.4199263660025423e-05,0.0022028644532237802
B2M,4.338754,0.48898217,1.4329266443397284e-05,0.002204959560765694
EMP1,4.3301706,2.5617998,1.4899389458144542e-05,0.002274199550599208
TMEM167A,4.321301,1.0462703,1.5511206322816977e-05,0.0023486448165756556
CSTA,4.30585,0.9806102,1.6634560977964206e-05,0.002498748695475623
SLC7A7,4.2909718,1.1381581,1.7789287183124712e-05,0.002651164082795287
STXBP2,4.2697988,1.2620217,1.9564936777606618e-05,0.0028930121749200038
DUSP6,4.221158,1.1282865,2.4305041785091177e-05,0.0035116147012703874
BRI3,4.1868234,0.8306006,2.8288572042924014e-05,0.004056195477700172
MTSS1,4.1685114,1.5305421,3.06595131206061e-05,0.0043631022919827945
MS4A7,4.1487694,0.82874274,3.342676038212262e-05,0.004721405177256976
NINJ1,4.1235905,0.9626392,3.7301186071613366e-05,0.005128669837402915
ANXA2,4.114721,0.799323,3.876485348513145e-05,0.005278434402252396
CD302,4.110715,0.93983567,3.944358542854761e-05,0.005294671924866103
PILRA,4.0998425,1.1169001,4.134316923103073e-05,0.005505967865959944
LRRC25,4.0984116,1.1371493,4.159948247647656e-05,0.005505967865959944
FGR,4.068655,1.2591541,4.728529291340581e-05,0.0061721981998071156
PSAP,4.0635047,0.6755016,4.834131898364905e-05,0.006266822906873463
LEPROT,4.049771,1.1685269,5.126778010959137e-05,0.006512384390162656
IQGAP1,4.037182,0.68796617,5.409718863253716e-05,0.006780778074490271
FPR2,4.0203004,2.260547,5.812397318416675e-05,0.00719027738860604
BLVRB,3.9736626,0.9677459,7.077582334658275e-05,0.008542578983602533
RBM47,3.9733765,1.0895406,7.086093413777132e-05,0.008542578983602533
TNFRSF1B,3.9693706,0.9737031,7.206269785565171e-05,0.008632472672872912
ZDHHC20,3.96279,1.735833,7.407897199885946e-05,0.008818193100769893
RNASE2,3.9484837,1.9178984,7.864773951573109e-05,0.009303536036339015
MAP2K1,3.9424753,0.98933935,8.064498116090846e-05,0.00948054384119574
AGTRAP,3.932175,1.4425418,8.41808032386907e-05,0.009774785661955207
CCR1,3.928169,1.219291,8.559500898833426e-05,0.009878394726354893
ATP6V1G1,3.9224467,0.60269177,8.765429191591914e-05,0.010054744139955161
KCTD12,3.916438,0.8247882,8.986686611864197e-05,0.01022139848830617
SERPINB1,3.9155798,0.68427914,9.018722182845302e-05,0.01022139848830617
CXCL2,3.9084268,1.6445386,9.289911953150334e-05,0.010466081162933117
PCBP1,3.9061377,0.53562343,9.378306886011629e-05,0.010503148782931486
ARL4A,3.8852508,1.177881,0.00010222429131671052,0.011314614981002223
CCL3,3.8546357,1.5704291,0.00011590204909566131,0.012594070190150599
HCST,3.8534913,0.7711382,0.00011644541043357927,0.012594070190150599
CDC42,3.8368962,0.5577666,0.00012459910143498886,0.013399359050341104
NLRP3,3.8211596,1.3308154,0.00013282571116267008,0.014044649358524338
LYVE1,3.7453372,2.2131193,0.00018015166716248146,0.018531144589045038
RHOB,3.7387564,0.9434636,0.00018493284866618492,0.01892012987408044
FCGRT,3.733034,0.64088696,0.00018918710812456445,0.01925131395415931
PGAM1,3.7087135,0.74147594,0.00020831493385005517,0.02090086085966844
