names,scores,logfoldchanges,pvals,pvals_adj
Gm28731,-0.53095186,-1.2481805,0.5954521420608565,1.0
Zdhhc4,-0.5312485,-0.089563444,0.5952465747364037,1.0
A730061H03Rik,-0.5313382,-0.6547169,0.5951844328523661,1.0
Zbtb7c,-0.5320902,-1.2243035,0.5946635135976491,1.0
Slc17a9,-0.5323317,-0.016267061,0.5944962901385753,1.0
Ifng,-0.5323731,-0.8253133,0.594467625417847,1.0
Gm43569,-0.5335459,-2.5955598,0.5936557209672189,1.0
Gm40841,-0.5337667,-2.9401627,0.5935029486713848,1.0
Hr,-0.5338702,-3.142849,0.5934313428543004,1.0
Immp2l,-0.53418756,-0.17275146,0.593211776352274,1.0
Npy1r,-0.53427726,-0.8954463,0.5931497316945311,1.0
Zkscan5,-0.5345325,-0.47518352,0.5929731593269829,1.0
Gm15513,-0.5345877,-1.1382099,0.592934984685126,1.0
Gm20633,-0.5346084,-0.7690055,0.5929206694848121,1.0
Zfp472,-0.5356226,-0.093653694,0.5922194187919341,1.0
Tmem86b,-0.53588474,-0.1568674,0.5920382050286104,1.0
Mapkapk5,-0.53598136,-0.31440234,0.5919714484799043,1.0
Habp4,-0.5364505,-0.18856964,0.5916472515521419,1.0
Metap1,-0.5371128,-0.04334697,0.5911897006687792,1.0
Gpr165,-0.53753364,-23.105213,0.5908990497600292,1.0
Zfp27,-0.5377268,-0.48141655,0.5907656582406023,1.0
Gm35279,-0.5377544,-1.5247407,0.5907466034402316,1.0
Psd2,-0.5380235,-2.7892578,0.5905608339573657,1.0
Gstm4,-0.5380856,-0.34781307,0.5905179678951751,1.0
Gm27194,-0.53813386,-2.933093,0.5904846286147217,1.0
Sept3,-0.5382857,-0.09894042,0.5903798536599196,1.0
Zfp78,-0.5382925,-1.7880355,0.5903750913653483,1.0
Myo19,-0.53833395,-1.0328984,0.5903465179693315,1.0
C530008M17Rik,-0.5384581,-1.8760247,0.590260801601804,1.0
Plod2,-0.5392308,-0.43567377,0.5897275841338463,1.0
Srd5a1,-0.5396034,-1.2916005,0.5894705764931141,1.0
Gm28557,-0.53974825,-0.75954914,0.5893706430276618,1.0
Angel1,-0.54076934,-0.8225376,0.5886665717232502,1.0
Zfp974,-0.54094875,-0.68831694,0.5885429236425115,1.0
Ccdc173,-0.5413765,-0.4856808,0.5882481189481719,1.0
AI593442,-0.54145926,-2.5517406,0.5881910678583235,1.0
Car13,-0.5414938,-0.26637888,0.5881672973256562,1.0
Khnyn,-0.54150754,-0.0024461064,0.5881577892369114,1.0
Gm1587,-0.54170763,-4.412733,0.5880199299342245,1.0
Gfpt1,-0.542094,0.12083018,0.5877537611520658,1.0
Zrsr1,-0.54301846,-0.08661025,0.5871170836008932,1.0
