names,scores,logfoldchanges,pvals,pvals_adj
MARCO,39.234497,31.314566,0.0,0.0
S100A6,25.51336,14.122832,1.4013161095065625e-143,1.438380920603011e-139
S100A4,23.731966,11.212609,1.6871708324075789e-124,1.1545310006165062e-120
S100A9,22.793365,20.155973,5.335256154860593e-115,2.7381868400783278e-111
S100A8,20.199276,15.905401,9.934496742667672e-91,4.078905672604493e-87
FCN1,19.96203,3.791556,1.1782620645991538e-88,4.031423654026005e-85
MALAT1,17.5579,54.78251,5.175493909546828e-69,1.5178244924155262e-65
TSPO,16.67747,2.592466,1.9114487481470723e-62,4.905016418838906e-59
SH3BGRL3,16.449871,5.735138,8.40467989041505e-61,1.9171074830036727e-57
CSTA,16.330414,2.2426944,5.99762869081303e-60,1.231253193937007e-56
CD52,16.27444,4.326539,1.498847297791224e-59,2.797257834214185e-56
SERPINA1,15.967379,2.5754921,2.1566234035636078e-57,3.689443487646442e-54
NEAT1,15.943203,4.341739,3.1764629900692706e-57,5.016123747933235e-54
EMP3,15.246539,2.4792717,1.7359439756105092e-52,2.5455138482362962e-49
AP1S2,15.239943,2.2286956,1.9203964411586312e-52,2.6282545693697025e-49
VCAN,13.842814,2.5457292,1.4059197510891315e-43,1.51905929316362e-40
STXBP2,13.696878,2.106327,1.0598294973262479e-42,1.0360590357433592e-39
CTSS,13.557124,3.0176892,7.190055460884508e-42,6.417593415499915e-39
RPL39,13.3948,7.8616047,6.485044353145646e-41,5.32525902102908e-38
FOS,13.256367,3.9032407,4.1449390345010415e-40,3.2727482092027648e-37
S100A12,13.155341,2.9198933,1.585659297302588e-39,1.2056296190490677e-36
CD37,12.675268,1.7613951,8.108044881273818e-37,5.739657012678283e-34
S100A10,11.75155,2.919415,6.933566411555035e-32,4.591586608477849e-29
LST1,11.657014,3.187938,2.113253339568083e-31,1.3557180564997866e-28
TYROBP,11.6181135,4.59706,3.334167115539234e-31,2.074155051966816e-28
LYZ,11.318977,14.056323,1.0569736308511386e-29,6.3819446081597134e-27
C1orf162,10.986913,1.3699603,4.417799142551074e-28,2.5835220973025907e-25
RPS24,10.984638,4.1741624,4.530507842705113e-28,2.5835220973025907e-25
FGR,10.949261,1.8196014,6.699238213211615e-28,3.716990845378953e-25
CD44,10.86238,1.609099,1.7415038869870783e-27,9.408245604199403e-25
MNDA,10.807099,1.7412132,3.185854495795707e-27,1.676984793440771e-24
C14orf2,10.772521,1.572527,4.641152607454804e-27,2.3238590702058457e-24
TKT,10.652584,1.6616819,1.695913081547177e-26,8.289380869305237e-24
MT-ND3,10.639554,2.531232,1.9505987172137252e-26,9.312521178065247e-24
TXNIP,10.523242,1.2739877,6.750963273105373e-26,3.149784659854095e-23
ACTB,10.470663,9.53615,1.1781531543529605e-25,5.374734690158206e-23
RPL34,10.365664,5.5190115,3.5528469646776888e-25,1.5855738116927886e-22
DUSP1,10.26794,1.3909124,9.828154731371104e-25,4.292812520857817e-22
MT-ND5,10.155103,1.8890755,3.1447760274633767e-24,1.3449813972457428e-21
FKBP1A,9.897166,1.3050406,4.2823621997999295e-23,1.794134971422301e-20
RPL32,9.869285,4.7265396,5.656671528299639e-23,2.3225161960892662e-20
CFP,9.858189,1.2908441,6.317895631664843e-23,2.5431388122048543e-20
RPL28,9.816112,4.311493,9.597467924721905e-23,3.7174796042757737e-20
KLF2,9.51699,1.4649041,1.7826867684675678e-21,6.53513869104834e-19
