names,scores,logfoldchanges,pvals,pvals_adj
PTPMT1,81.443825,1.946353,0.0,0.0
MS4A4A,81.39486,1.5826925,0.0,0.0
PTMS,81.28194,1.852904,0.0,0.0
RASGEF1B,80.72122,1.5760121,0.0,0.0
CPM,80.625946,1.8421494,0.0,0.0
FHL1,80.62115,4.128039,0.0,0.0
CHCHD10,80.49322,1.3994176,0.0,0.0
PLAAT3,80.416534,2.01703,0.0,0.0
RRAGD,80.092964,2.333466,0.0,0.0
MLPH,79.97089,5.015138,0.0,0.0
AKR1C3,79.86916,4.2932696,0.0,0.0
ATP6AP1,79.77869,1.334781,0.0,0.0
ATP1B1,79.703964,2.4448872,0.0,0.0
HSPB1,79.65801,1.4171369,0.0,0.0
ALDH1A1,79.64622,2.153388,0.0,0.0
AGRP,79.53952,4.8660803,0.0,0.0
SNTB1,79.39312,2.0443006,0.0,0.0
DENND4C,79.23679,2.1136196,0.0,0.0
SPATS2L,79.02509,1.8712409,0.0,0.0
PHLDA1,79.0129,1.9459414,0.0,0.0
CAPG,78.995384,1.2685876,0.0,0.0
COLEC12,78.98934,4.483381,0.0,0.0
ADAM17,78.9531,1.5514414,0.0,0.0
SIGLEC1,78.90261,2.6569772,0.0,0.0
EPAS1,78.848145,2.739029,0.0,0.0
LAMP1,78.79777,1.2355789,0.0,0.0
HNMT,78.66433,1.4182199,0.0,0.0
AKR1B1,78.63543,1.8891803,0.0,0.0
PCED1B-AS1,78.61446,2.2180743,0.0,0.0
SERPINA1,78.405045,1.2307507,0.0,0.0
TRPV2,78.25732,2.051742,0.0,0.0
SMAD7,77.9217,2.3995664,0.0,0.0
SCCPDH,77.92144,1.8547977,0.0,0.0
LYAR,77.90008,1.7880796,0.0,0.0
OSBPL1A,77.89527,2.2837644,0.0,0.0
APIP,77.64101,1.7473438,0.0,0.0
SORT1,77.64073,1.6744188,0.0,0.0
ANXA2,77.56938,1.0793374,0.0,0.0
SLC7A7,77.31606,1.3458498,0.0,0.0
BRI3,77.05565,0.96586776,0.0,0.0
CD74,76.97191,1.4192519,0.0,0.0
RHEB,76.78682,1.381658,0.0,0.0
AVPI1,76.75044,2.2451277,0.0,0.0
NPC2,76.664314,1.0203643,0.0,0.0
SMIM25,76.57742,1.3633683,0.0,0.0
PPIC,76.549,5.013981,0.0,0.0
MYOF,76.4195,1.7366493,0.0,0.0
STAC,76.32301,4.64196,0.0,0.0
PARAL1,76.30025,5.565456,0.0,0.0
KCNMA1,76.188354,2.5827236,0.0,0.0
VEGFB,76.18041,1.8903624,0.0,0.0
MITF,75.90194,2.1548529,0.0,0.0
LAMP2,75.77489,1.2732733,0.0,0.0
TANC2,75.369255,3.144731,0.0,0.0
SDC4,75.04582,1.8800573,0.0,0.0
STOM,75.036194,1.6639494,0.0,0.0
FCGRT,75.00711,1.0378827,0.0,0.0
POR,74.9072,1.5127409,0.0,0.0
RNF13,74.887436,1.282469,0.0,0.0
PMP22,74.51647,2.6689832,0.0,0.0
ITM2B,74.349915,0.88171107,0.0,0.0
EVL,74.20326,1.940057,0.0,0.0
HSD17B4,73.849434,1.5354373,0.0,0.0
CTSB,73.797615,0.9922691,0.0,0.0
COPRS,73.62445,1.9775263,0.0,0.0
LRP1,73.48244,1.2162436,0.0,0.0
GAA,73.440636,1.365376,0.0,0.0
TMEM251,73.312744,2.085422,0.0,0.0
MDH1,73.3118,1.3992827,0.0,0.0
SLC31A1,72.75866,1.5835443,0.0,0.0
HDDC2,72.68001,1.7085862,0.0,0.0
SPRED1,72.66776,2.5553586,0.0,0.0
B2M,72.66052,0.50829846,0.0,0.0
TCEAL4,72.50838,1.5735536,0.0,0.0
SLC31A2,72.12622,1.2961421,0.0,0.0
PDK4,72.09928,1.7135344,0.0,0.0
HLA-DMB,71.41061,1.3732426,0.0,0.0
MCOLN1,71.39295,1.2353911,0.0,0.0
HLA-C,71.339714,0.7163145,0.0,0.0
TMEM35B,71.16889,1.6155905,0.0,0.0
ANXA4,71.02998,1.3392899,0.0,0.0
ACE,70.9992,4.048688,0.0,0.0
DYNLL1,70.9287,1.1513535,0.0,0.0
FPR3,70.729485,2.6523633,0.0,0.0
LAIR1,70.72048,1.2109644,0.0,0.0
MOB3B,70.66285,2.2043586,0.0,0.0
COMT,70.53124,1.1509482,0.0,0.0
GBP1,70.27503,1.7253228,0.0,0.0
UBASH3B,70.140755,1.8568135,0.0,0.0
CITED2,70.02258,1.4075062,0.0,0.0
TMED10,70.0145,1.1463951,0.0,0.0
DBNDD2,69.99049,1.4795921,0.0,0.0
ARHGAP10,69.74309,2.107286,0.0,0.0
VDAC1,69.693825,1.1414673,0.0,0.0
ABCC3,69.669815,2.1610043,0.0,0.0
GPR137B,69.55168,1.6053292,0.0,0.0
SAMD9L,69.4404,1.9406205,0.0,0.0
S100A10,69.37462,1.0586227,0.0,0.0
IFIT3,69.27453,2.4226964,0.0,0.0
RTN4,69.21076,0.9366058,0.0,0.0
UBE2L6,69.20954,1.2476298,0.0,0.0
REEP3,69.18545,1.4334819,0.0,0.0
PLXDC2,69.15812,1.1889157,0.0,0.0
ACOT7,69.04793,3.2241976,0.0,0.0
ISG15,68.94137,1.4613951,0.0,0.0
MIR3945HG,68.89188,2.5241601,0.0,0.0
SLC15A3,68.84529,1.2156042,0.0,0.0
NOP10,68.62723,0.9937099,0.0,0.0
TNFSF12,68.60903,1.394898,0.0,0.0
FLVCR2,68.36438,1.7902673,0.0,0.0
TOMM5,68.04205,1.188387,0.0,0.0
C2,67.976395,2.6729255,0.0,0.0
PDGFC,67.94428,2.4400067,0.0,0.0
CALU,67.87239,1.3667694,0.0,0.0
TGM2,67.780624,3.0061522,0.0,0.0
SH3PXD2B,67.74351,2.1220336,0.0,0.0
MAN1A1,67.58157,1.3257772,0.0,0.0
LEPROTL1,67.53754,1.2953415,0.0,0.0
C7orf50,67.48244,1.4753913,0.0,0.0
ZNF706,67.45332,1.0981733,0.0,0.0
IL7R,67.41257,2.517242,0.0,0.0
PHYH,67.352715,1.685218,0.0,0.0
SLC11A1,67.13367,1.0712997,0.0,0.0
